RLP,0,1,1,2,0,1,1,2,2,2,1,1,1,0,0,2,1,0,2,2,2,1,2,1,1,2,1,1,1,1
MGB,2,0,1,0,0,1,1,1,0,1,1,0,1,0,3,1,1,1,0,1,2,1,1,1,0,0,1,1,1,1
VLJ,0,0,1,0,2,0,2,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1
RMP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RPM,1,0,2,0,1,1,2,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,2,0,0,1,2,0
PSM,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
BFA,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
AJR,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
AGN,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
HCT,1,0,3,1,1,2,1,2,1,1,3,0,0,2,0,0,1,1,0,2,1,0,1,0,2,0,2,1,0,0
