RLP,0,1,1,2,3,1,1,0,0,1,2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,3,1,1,1,1,1
MGB,2,1,0,1,1,1,0,2,0,2,1,1,1,0,1,1,1,1,1,1,0,0,2,1,1,1,1,1,0,0,0
VLJ,1,1,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,1,1,1,2,0,2,1,0,2,2,0,0,0
RMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RPM,0,0,1,2,0,2,0,1,0,0,0,2,1,1,0,0,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0
PSM,0,0,0,1,1,0,0,0,0,2,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,2,0
BFA,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
AJR,1,0,2,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0
AGN,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0
HCT,2,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,2,1,1,2,0,1,1,0,0
