RLP,1,2,1,1,2,2,1,1,1,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1
HCT,1,0,1,1,1,2,1,2,2,0,2,2,2,1,0,2,0,1,2,1,1,1,1,0,1,2,1,2,1,1,2
MGB,1,1,2,3,1,2,1,0,1,0,2,1,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,0,1
VLJ,1,0,2,0,2,1,0,1,0,1,0,0,2,1,1,0,1,1,1,0,1,2,1,1,3,2,0,1,1,0,1
RPM,0,0,0,2,0,0,2,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1
PSM,1,1,1,1,0,4,2,3,1,3,2,2,2,4,2,0,0,0,1,1,0,1,2,1,2,1,1,0,0,1,0
BFA,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AJR,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
AGN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMP,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
